,건물면적,경도,도서관명,도서관유형,시군구명,시도명,열람좌석수,위도,자료수,좌표
0,1234.0,127.08755655959999,중랑구립면목정보도서관,공공도서관,중랑구,서울특별시,227,37.5873561521,112846,"37.5873561521, 127.08755655959999"
1,977.8,127.103926,중랑숲어린이도서관,공공도서관,중랑구,서울특별시,303,37.602634,50731,"37.602634, 127.103926"
2,133.0,127.0748924744,중화어린이도서관,공공도서관,중랑구,서울특별시,30,37.595003999999996,23799,"37.595003999999996, 127.0748924744"
3,970.78,127.110697,양원숲속도서관,공공도서관,중랑구,서울특별시,252,37.606825,29716,"37.606825, 127.110697"
4,1753.41,127.080932,중랑상봉도서관,공공도서관,중랑구,서울특별시,268,37.5931272353,26780,"37.5931272353, 127.080932"
5,3697.0,127.1304765731,송파글마루도서관,공공도서관,송파구,서울특별시,414,37.480832692199996,69064,"37.480832692199996, 127.1304765731"
6,1273.0,127.0824284892,송파어린이도서관,공공도서관,송파구,서울특별시,60,37.5121012604,85296,"37.5121012604, 127.0824284892"
7,886.0,127.1468273964,거마도서관,공공도서관,송파구,서울특별시,244,37.493545000000005,44147,"37.493545000000005, 127.1468273964"
8,177.0,127.1180408616,소나무언덕1호,공공도서관,송파구,서울특별시,38,37.5274169166,18480,"37.5274169166, 127.1180408616"
9,329.0,127.09421729809999,소나무언덕2호,공공도서관,송파구,서울특별시,72,37.507266666199996,22286,"37.507266666199996, 127.09421729809999"
10,343.0,127.15661899999999,소나무언덕3호,공공도서관,송파구,서울특별시,84,37.492325,24750,"37.492325, 127.15661899999999"
11,246.0,127.116836,소나무언덕4호,공공도서관,송파구,서울특별시,45,37.502207,17330,"37.502207, 127.116836"
12,510.0,127.07887195709999,소나무언덕 잠실본동,공공도서관,송파구,서울특별시,63,37.5031008494,23052,"37.5031008494, 127.07887195709999"
13,595.0,127.10298301430001,송파어린이영어,공공도서관,송파구,서울특별시,60,37.5223926038,19293,"37.5223926038, 127.10298301430001"
14,265.0,127.1036854792,돌마리도서관,공공도서관,송파구,서울특별시,55,37.5035646147,16380,"37.5035646147, 127.1036854792"
15,914.0,127.1439359526,송파위례도서관,공공도서관,송파구,서울특별시,140,37.4811666537,15645,"37.4811666537, 127.1439359526"
16,5060.0,126.92826740000001,은평구립도서관,공공도서관,은평구,서울특별시,958,37.61897412,259379,"37.61897412, 126.92826740000001"
17,2110.0,126.9076711057,증산정보도서관,공공도서관,은평구,서울특별시,511,37.5828079079,71917,"37.5828079079, 126.9076711057"
18,999.0,126.9196820594,응암정보도서관,공공도서관,은평구,서울특별시,250,37.5859665629,72038,"37.5859665629, 126.9196820594"
19,311.7,126.9289423548,상림마을작은도서관,공공도서관,은평구,서울특별시,60,37.6442159908,37261,"37.6442159908, 126.9289423548"
20,1997.0,126.9331183475,은평뉴타운 도서관,공공도서관,은평구,서울특별시,420,37.6372303968,54409,"37.6372303968, 126.9331183475"
21,5106.0,127.0869050507,중랑구립정보도서관,공공도서관,중랑구,서울특별시,594,37.6151557,231096,"37.6151557, 127.0869050507"
22,1724.86,126.96736899999999,사당솔밭도서관,공공도서관,동작구,서울특별시,280,37.484056,62011,"37.484056, 126.96736899999999"
23,525.0,126.9509960718,동작상도국주도서관,공공도서관,동작구,서울특별시,100,37.5068219493,47410,"37.5068219493, 126.9509960718"
24,444.3,126.94343400000001,동작어린이도서관,공공도서관,동작구,서울특별시,130,37.509204429,50692,"37.509204429, 126.94343400000001"
25,391.3,126.9252221319,대방어린이도서관,공공도서관,동작구,서울특별시,50,37.5030242235,25363,"37.5030242235, 126.9252221319"
26,598.0,126.9474396,약수도서관,공공도서관,동작구,서울특별시,47,37.497851000000004,34821,"37.497851000000004, 126.9474396"
27,241.0,126.977553,동작샘터도서관,작은도서관,동작구,서울특별시,50,37.488360899999996,24667,"37.488360899999996, 126.977553"
28,183.0,126.9732460032,다울작은도서관,작은도서관,동작구,서울특별시,8,37.4788487,5368,"37.4788487, 126.9732460032"
29,36.0,126.9405908581,국사봉숲속작은도서관,작은도서관,동작구,서울특별시,10,37.4954320648,2826,"37.4954320648, 126.9405908581"
30,704.0,126.949749,중앙동 새싹작은도서관,작은도서관,관악구,서울특별시,40,37.484165999999995,10502,"37.484165999999995, 126.949749"
31,786.0,126.95859899999999,청림동 푸른숲작은도서관,작은도서관,관악구,서울특별시,20,37.491797,14778,"37.491797, 126.95859899999999"
32,1447.0,126.95705900000002,행운동 마루작은도서관,작은도서관,관악구,서울특별시,20,37.480593,11487,"37.480593, 126.95705900000002"
33,1441.0,126.941694,청룡동 숯고을작은도서관,작은도서관,관악구,서울특별시,20,37.479107,19086,"37.479107, 126.941694"
34,2004.0,126.95836499999999,낙성동 우듬지작은도서관,작은도서관,관악구,서울특별시,20,37.476264,13124,"37.476264, 126.95836499999999"
35,721.0,126.915527,미성동 책의향기작은도서관,작은도서관,관악구,서울특별시,20,37.476132,14968,"37.476132, 126.915527"
36,617.0,126.93296399999998,삼성동 샛별작은도서관,작은도서관,관악구,서울특별시,10,37.470073,14220,"37.470073, 126.93296399999998"
37,6985.0,126.96021499999999,책쉼터,작은도서관,관악구,서울특별시,20,37.472972999999996,3723,"37.472972999999996, 126.96021499999999"
38,1364.0,126.91618500000001,신림청소년독서실,작은도서관,관악구,서울특별시,74,37.480177000000005,8736,"37.480177000000005, 126.91618500000001"
39,2552.0,126.946069,관악산 詩도서관,작은도서관,관악구,서울특별시,14,37.468115999999995,5781,"37.468115999999995, 126.946069"
40,132.0,126.959727,낙성대공원도서관,작은도서관,관악구,서울특별시,28,37.471383,6091,"37.471383, 126.959727"
41,358.0,126.919945,하난곡작은도서관,작은도서관,관악구,서울특별시,38,37.4767912,13105,"37.4767912, 126.919945"
42,32572.0,126.95148700000001,용꿈꾸는 작은도서관,작은도서관,관악구,서울특별시,57,37.478127,19853,"37.478127, 126.95148700000001"
43,56.57,126.929827,도림천에서 용나는 작은도서관,작은도서관,관악구,서울특별시,12,37.480942,5542,"37.480942, 126.929827"
44,235.71,126.944781,꿈나무 영유아도서관,작은도서관,관악구,서울특별시,50,37.467081,6671,"37.467081, 126.944781"
45,1308.0,126.944781,보라매동 다사랑작은도서관,작은도서관,관악구,서울특별시,15,37.467081,14014,"37.467081, 126.944781"
46,455.0,126.94152700000001,은천동 한울작은도서관,작은도서관,관악구,서울특별시,20,37.486875,30483,"37.486875, 126.94152700000001"
47,1497.0,126.96524699999999,인헌동 보물섬 작은도서관,작은도서관,관악구,서울특별시,24,37.475044,36834,"37.475044, 126.96524699999999"
48,2271.0,126.921644,난곡동 책사랑 작은도서관,작은도서관,관악구,서울특별시,16,37.470991,15530,"37.470991, 126.921644"
